attendingphysician,claimid
PHY311001,2
PHY311002,1
PHY311004,2
PHY311005,2
PHY311006,1
PHY311008,4
PHY311010,7
PHY311011,17
PHY311012,1
PHY311013,1
PHY311014,12
PHY311015,1
PHY311017,1
PHY311018,3
PHY311019,2
PHY311020,1
PHY311021,1
PHY311023,1
PHY311024,2
PHY311026,1
PHY311027,3
PHY311028,1
PHY311029,1
PHY311030,1
PHY311033,2
PHY311034,3
PHY311035,2
PHY311039,14
PHY311040,2
PHY311041,3
PHY311042,1
PHY311044,5
PHY311047,2
PHY311048,2
PHY311049,1
PHY311051,3
PHY311052,2
PHY311054,2
PHY311055,1
PHY311056,1
PHY311057,2
PHY311059,1
PHY311061,30
PHY311062,9
PHY311063,1
PHY311064,1
PHY311065,1
PHY311066,1
PHY311067,69
PHY311069,3
PHY311070,1
PHY311071,1
PHY311072,2
PHY311073,4
PHY311075,3
PHY311077,2
PHY311080,10
PHY311082,1
PHY311084,5
PHY311085,1
PHY311086,1
PHY311087,3
PHY311088,2
PHY311090,5
PHY311093,9
PHY311095,2
PHY311097,1
PHY311098,1
PHY311099,15
PHY311100,1
PHY311102,1
PHY311103,1
PHY311104,1
PHY311105,1
PHY311106,6
PHY311107,7
PHY311109,1
PHY311110,11
PHY311111,1
PHY311114,2
PHY311115,138
PHY311118,1
PHY311119,3
PHY311120,1
PHY311123,4
PHY311125,1
PHY311126,1
PHY311127,1
PHY311128,5
PHY311129,3
PHY311131,4
PHY311132,1
PHY311133,1
PHY311135,1
PHY311137,1
PHY311138,1
PHY311139,1
PHY311140,1
PHY311141,2
PHY311143,1
PHY311144,1
PHY311147,7
PHY311151,61
PHY311153,1
PHY311155,1
PHY311157,10
PHY311158,14
PHY311159,8
PHY311162,5
PHY311163,1
PHY311166,1
PHY311168,13
PHY311169,1
PHY311170,26
PHY311172,1
PHY311173,1
PHY311174,18
PHY311175,1
PHY311176,1
PHY311177,1
PHY311178,1
PHY311179,2
PHY311180,1
PHY311181,1
PHY311182,1
PHY311183,1
PHY311184,6
PHY311185,1
PHY311186,3
PHY311187,3
PHY311188,7
PHY311190,53
PHY311191,2
PHY311192,1
PHY311193,2
PHY311195,1
PHY311196,1
PHY311197,1
PHY311198,2
PHY311199,5
PHY311200,7
PHY311201,1
PHY311202,4
PHY311203,1
PHY311204,1
PHY311206,1
PHY311207,20
PHY311210,2
PHY311211,2
PHY311212,1
PHY311214,3
PHY311216,1
PHY311217,4
PHY311218,1
PHY311219,36
PHY311222,17
PHY311223,3
PHY311224,2
PHY311225,1
PHY311226,1
PHY311227,1
PHY311230,2
PHY311232,4
PHY311233,1
PHY311236,3
PHY311241,1
PHY311242,3
PHY311243,2
PHY311246,2
PHY311247,1
PHY311250,2
PHY311251,1
PHY311252,13
PHY311253,2
PHY311254,1
PHY311255,1
PHY311257,2
PHY311259,3
PHY311260,2
PHY311262,1
PHY311264,15
PHY311265,1
PHY311267,1
PHY311268,1
PHY311269,58
PHY311270,1
PHY311273,14
PHY311274,1
PHY311276,3
PHY311277,2
PHY311278,1
PHY311279,12
PHY311280,1
PHY311281,3
PHY311282,1
PHY311283,1
PHY311285,9
PHY311287,1
PHY311288,1
PHY311290,2
PHY311291,1
PHY311292,2
PHY311294,1
PHY311295,6
PHY311296,1
PHY311299,3
PHY311300,1
PHY311302,2
PHY311304,16
PHY311305,1
PHY311306,2
PHY311307,3
PHY311308,1
PHY311309,1
PHY311311,1
PHY311312,14
PHY311313,10
PHY311314,1
PHY311315,3
PHY311316,1
PHY311318,1
PHY311319,1
PHY311321,1
PHY311322,2
PHY311323,3
PHY311325,66
PHY311326,2
PHY311328,1
PHY311329,1
PHY311330,8
PHY311331,7
PHY311333,5
PHY311334,1
PHY311336,10
PHY311337,1
PHY311339,17
PHY311340,1
PHY311341,1
PHY311343,91
PHY311344,3
PHY311346,1
PHY311347,1
PHY311348,4
PHY311351,2
PHY311353,44
PHY311354,5
PHY311355,7
PHY311356,11
PHY311357,1
PHY311360,1
PHY311361,7
PHY311365,1
PHY311366,3
PHY311370,1
PHY311371,1
PHY311373,1
PHY311374,1
PHY311376,33
PHY311377,7
PHY311378,26
PHY311379,2
PHY311381,6
PHY311384,10
PHY311386,1
PHY311391,1
PHY311392,5
PHY311394,43
PHY311395,1
PHY311396,1
PHY311400,1
PHY311401,2
PHY311402,1
PHY311403,2
PHY311405,3
PHY311406,2
PHY311407,154
PHY311408,7
PHY311412,1
PHY311413,1
PHY311414,2
PHY311415,1
PHY311416,1
PHY311417,1
PHY311419,11
PHY311420,1
PHY311424,8
PHY311426,2
PHY311428,1
PHY311429,2
PHY311430,15
PHY311431,1
PHY311434,3
PHY311435,3
PHY311436,2
PHY311437,1
PHY311438,7
PHY311440,1
PHY311444,8
PHY311445,2
PHY311447,11
PHY311448,3
PHY311449,8
PHY311451,2
PHY311452,1
PHY311454,1
PHY311458,1
PHY311460,3
PHY311461,5
PHY311462,2
PHY311463,2
PHY311465,1
PHY311467,1
PHY311468,4
PHY311469,7
PHY311470,10
PHY311471,8
PHY311473,1
PHY311474,1
PHY311475,1
PHY311477,2
PHY311481,1
PHY311483,5
PHY311486,2
PHY311487,1
PHY311488,5
PHY311489,2
PHY311490,1
PHY311491,2
PHY311492,1
PHY311493,5
PHY311495,1
PHY311496,35
PHY311497,1
PHY311498,1
PHY311499,6
PHY311500,8
PHY311501,3
PHY311502,2
PHY311503,1
PHY311505,1
PHY311506,1
PHY311508,6
PHY311510,1
PHY311511,2
PHY311512,1
PHY311516,3
PHY311517,1
PHY311518,1
PHY311519,2
PHY311525,3
PHY311526,1
PHY311527,8
PHY311529,2
PHY311531,1
PHY311534,4
PHY311537,1
PHY311538,1
PHY311539,3
PHY311540,2
PHY311541,1
PHY311543,2
PHY311544,5
PHY311546,3
PHY311549,2
PHY311550,1
PHY311551,1
PHY311553,4
PHY311554,6
PHY311555,14
PHY311556,3
PHY311557,2
PHY311558,1
PHY311560,2
PHY311561,1
PHY311564,2
PHY311566,2
PHY311567,1
PHY311569,1
PHY311570,1
PHY311571,1
PHY311572,2
PHY311573,1
PHY311575,2
PHY311576,1
PHY311580,13
PHY311581,1
PHY311582,1
PHY311584,1
PHY311586,3
PHY311587,2
PHY311591,2
PHY311592,1
PHY311593,2
PHY311594,1
PHY311595,14
PHY311597,1
PHY311598,1
PHY311599,44
PHY311601,11
PHY311602,2
PHY311605,2
PHY311606,9
PHY311610,1
PHY311612,1
PHY311613,1
PHY311614,1
PHY311618,2
PHY311619,1
PHY311620,3
PHY311621,3
PHY311622,2
PHY311623,1
PHY311624,3
PHY311625,1
PHY311627,1
PHY311630,6
PHY311634,4
PHY311637,12
PHY311638,2
PHY311639,1
PHY311640,1
PHY311642,1
PHY311643,1
PHY311644,1
PHY311647,3
PHY311648,1
PHY311651,9
PHY311652,2
PHY311653,13
PHY311655,1
PHY311656,1
PHY311658,2
PHY311660,5
PHY311662,10
PHY311663,2
PHY311664,1
PHY311665,1
PHY311667,1
PHY311668,10
PHY311670,16
PHY311671,22
PHY311672,2
PHY311675,18
PHY311676,2
PHY311677,1
PHY311678,8
PHY311679,4
PHY311680,3
PHY311682,1
PHY311683,1
PHY311685,1
PHY311687,1
PHY311689,1
PHY311690,2
PHY311691,1
PHY311694,1
PHY311696,1
PHY311698,7
PHY311700,6
PHY311701,2
PHY311703,4
PHY311706,1
PHY311707,1
PHY311708,1
PHY311709,1
PHY311710,2
PHY311712,4
PHY311713,3
PHY311714,1
PHY311716,2
PHY311717,1
PHY311718,2
PHY311719,39
PHY311720,1
PHY311725,1
PHY311726,2
PHY311728,1
PHY311731,1
PHY311733,6
PHY311736,1
PHY311737,3
PHY311739,1
PHY311740,1
PHY311747,1
PHY311750,1
PHY311752,2
PHY311753,1
PHY311755,7
PHY311756,1
PHY311758,1
PHY311760,6
PHY311762,1
PHY311763,11
PHY311764,1
PHY311765,4
PHY311766,3
PHY311767,1
PHY311769,3
PHY311770,1
PHY311773,33
PHY311774,1
PHY311775,1
PHY311777,10
PHY311778,6
PHY311780,1
PHY311781,4
PHY311782,1
PHY311783,2
PHY311784,1
PHY311786,1
PHY311787,1
PHY311788,316
PHY311789,1
PHY311790,1
PHY311791,6
PHY311792,7
PHY311793,8
PHY311794,1
PHY311795,15
PHY311797,68
PHY311798,14
PHY311799,1
PHY311800,12
PHY311803,3
PHY311804,3
PHY311806,1
PHY311809,4
PHY311812,3
PHY311814,3
PHY311815,23
PHY311816,2
PHY311821,1
PHY311822,3
PHY311825,3
PHY311826,2
PHY311827,1
PHY311828,1
PHY311829,2
PHY311833,1
PHY311835,1
PHY311836,13
PHY311841,74
PHY311843,2
PHY311844,1
PHY311846,1
PHY311848,1
PHY311851,1
PHY311852,1
PHY311853,12
PHY311856,1
PHY311857,1
PHY311858,1
PHY311862,6
PHY311863,7
PHY311864,5
PHY311865,1
PHY311868,1
PHY311869,5
PHY311870,1
PHY311871,18
PHY311872,1
PHY311874,1
PHY311876,1
PHY311878,1
PHY311881,1
PHY311883,2
PHY311884,2
PHY311886,1
PHY311889,1
PHY311891,10
PHY311894,1
PHY311896,12
PHY311898,5
PHY311900,1
PHY311901,1
PHY311902,1
PHY311904,5
PHY311905,37
PHY311907,4
