operatingphysician,claimid
PHY311005,1
PHY311010,1
PHY311011,5
PHY311014,3
PHY311018,2
PHY311019,1
PHY311039,4
PHY311040,2
PHY311041,2
PHY311043,5
PHY311044,1
PHY311051,1
PHY311054,1
PHY311058,2
PHY311061,2
PHY311062,2
PHY311067,11
PHY311081,1
PHY311084,1
PHY311089,1
PHY311090,1
PHY311094,1
PHY311095,1
PHY311096,16
PHY311099,3
PHY311108,1
PHY311110,1
PHY311114,1
PHY311115,30
PHY311119,1
PHY311123,4
PHY311128,2
PHY311132,1
PHY311141,2
PHY311148,1
PHY311151,9
PHY311152,1
PHY311157,3
PHY311158,4
PHY311159,4
PHY311161,2
PHY311168,1
PHY311170,9
PHY311173,1
PHY311174,2
PHY311177,2
PHY311178,1
PHY311181,2
PHY311187,2
PHY311188,1
PHY311190,13
PHY311193,1
PHY311195,1
PHY311199,1
PHY311201,1
PHY311202,1
PHY311214,1
PHY311216,1
PHY311217,2
PHY311219,7
PHY311221,1
PHY311222,6
PHY311223,1
PHY311233,1
PHY311244,20
PHY311252,1
PHY311253,2
PHY311259,1
PHY311264,4
PHY311266,3
PHY311269,7
PHY311271,1
PHY311273,3
PHY311279,3
PHY311285,1
PHY311292,1
PHY311304,5
PHY311306,1
PHY311307,2
PHY311311,2
PHY311312,4
PHY311313,4
PHY311315,1
PHY311321,1
PHY311322,1
PHY311325,15
PHY311326,2
PHY311330,1
PHY311331,1
PHY311333,1
PHY311336,1
PHY311338,1
PHY311339,5
PHY311344,1
PHY311348,2
PHY311350,2
PHY311353,11
PHY311354,1
PHY311355,1
PHY311356,2
PHY311357,11
PHY311359,1
PHY311361,3
PHY311365,1
PHY311370,1
PHY311372,2
PHY311376,2
PHY311377,3
PHY311378,2
PHY311379,1
PHY311381,3
PHY311384,2
PHY311394,6
PHY311404,1
PHY311407,21
PHY311408,1
PHY311409,1
PHY311422,1
PHY311434,1
PHY311435,4
PHY311438,2
PHY311442,1
PHY311443,1
PHY311444,4
PHY311450,1
PHY311456,2
PHY311459,1
PHY311460,2
PHY311468,1
PHY311470,5
PHY311476,1
PHY311478,1
PHY311482,1
PHY311486,2
PHY311490,1
PHY311493,1
PHY311496,10
PHY311501,1
PHY311508,2
PHY311510,1
PHY311511,1
PHY311514,1
PHY311523,6
PHY311524,2
PHY311527,5
PHY311532,1
PHY311544,1
PHY311549,2
PHY311553,2
PHY311555,6
PHY311559,1
PHY311560,1
PHY311565,3
PHY311566,1
PHY311580,3
PHY311587,2
PHY311588,1
PHY311591,1
PHY311594,1
PHY311595,5
PHY311599,7
PHY311601,4
PHY311602,1
PHY311606,1
PHY311608,3
PHY311610,1
PHY311620,1
PHY311624,2
PHY311626,1
PHY311627,2
PHY311630,2
PHY311637,2
PHY311650,6
PHY311652,2
PHY311653,2
PHY311655,3
PHY311656,1
PHY311658,1
PHY311670,3
PHY311671,5
PHY311674,1
PHY311678,3
PHY311679,1
PHY311680,1
PHY311686,1
PHY311691,1
PHY311692,1
PHY311693,1
PHY311695,1
PHY311697,1
PHY311700,3
PHY311712,2
PHY311715,1
PHY311719,7
PHY311730,2
PHY311733,1
PHY311755,4
PHY311757,1
PHY311762,1
PHY311763,1
PHY311764,1
PHY311765,2
PHY311768,1
PHY311770,1
PHY311772,2
PHY311773,2
PHY311776,1
PHY311777,6
PHY311778,4
PHY311781,1
PHY311788,63
PHY311792,3
PHY311793,1
PHY311795,3
PHY311797,10
PHY311798,1
PHY311800,7
PHY311804,1
PHY311805,1
PHY311808,1
PHY311809,1
PHY311815,1
PHY311816,1
PHY311820,1
PHY311821,1
PHY311825,1
PHY311829,1
PHY311832,4
PHY311834,1
PHY311836,5
PHY311841,13
PHY311846,1
PHY311853,3
PHY311859,1
PHY311860,2
PHY311862,1
PHY311863,2
PHY311864,1
PHY311865,2
PHY311871,5
PHY311885,1
PHY311891,2
PHY311893,1
PHY311905,12
PHY311907,1
PHY311914,1
PHY311917,1
PHY311921,2
PHY311924,4
PHY311933,1
PHY311935,1
PHY311940,1
PHY311945,1
PHY311948,1
PHY311964,4
PHY311965,3
PHY311968,1
PHY311974,6
PHY311981,3
PHY311985,10
PHY311986,2
PHY311991,2
PHY311993,1
PHY311994,1
PHY311998,1
PHY312000,3
PHY312004,1
PHY312006,1
PHY312011,1
PHY312013,1
PHY312014,9
PHY312018,46
PHY312019,1
PHY312023,5
PHY312027,1
PHY312028,1
PHY312030,1
PHY312034,10
PHY312035,1
PHY312039,2
PHY312044,4
PHY312045,10
PHY312046,1
PHY312051,1
PHY312059,1
PHY312068,1
PHY312071,8
PHY312075,1
PHY312076,2
PHY312077,3
PHY312078,4
PHY312084,1
PHY312090,2
PHY312095,1
PHY312102,1
PHY312108,3
PHY312128,1
PHY312129,1
PHY312130,22
PHY312133,4
PHY312136,3
PHY312137,8
PHY312140,1
PHY312153,1
PHY312157,1
PHY312159,3
PHY312166,1
PHY312170,1
PHY312173,10
PHY312176,5
PHY312185,6
PHY312189,1
PHY312191,1
PHY312192,1
PHY312195,1
PHY312201,1
PHY312203,29
PHY312208,7
PHY312209,1
PHY312211,1
PHY312215,3
PHY312217,3
PHY312218,1
PHY312219,1
PHY312226,1
PHY312228,1
PHY312230,1
PHY312231,7
PHY312234,1
PHY312235,1
PHY312236,13
PHY312238,1
PHY312239,3
PHY312247,42
PHY312248,1
PHY312252,1
PHY312254,1
PHY312264,1
PHY312267,1
PHY312270,1
PHY312271,6
PHY312272,1
PHY312273,2
PHY312276,1
PHY312280,2
PHY312285,4
PHY312286,1
PHY312290,1
PHY312292,46
PHY312295,1
PHY312296,1
PHY312302,1
PHY312305,1
PHY312306,6
PHY312319,1
PHY312323,5
PHY312330,2
PHY312333,2
PHY312336,1
PHY312337,1
PHY312341,1
PHY312345,1
PHY312346,2
PHY312350,1
PHY312354,1
PHY312357,2
PHY312358,1
PHY312362,1
PHY312363,1
PHY312364,1
PHY312366,1
PHY312368,5
PHY312374,1
PHY312383,1
PHY312385,2
PHY312390,2
PHY312392,1
PHY312393,1
PHY312395,1
PHY312396,1
PHY312403,1
PHY312412,1
PHY312415,1
PHY312416,5
PHY312417,1
PHY312420,3
PHY312421,1
PHY312424,12
PHY312425,1
PHY312426,1
PHY312427,1
PHY312428,1
PHY312429,2
PHY312430,3
PHY312431,10
PHY312437,16
PHY312439,20
PHY312440,1
PHY312444,3
PHY312447,1
PHY312449,1
PHY312455,1
PHY312462,1
PHY312466,1
PHY312467,1
PHY312469,2
PHY312476,1
PHY312479,18
PHY312484,1
PHY312493,1
PHY312494,1
PHY312495,12
PHY312497,1
PHY312503,1
PHY312508,1
PHY312513,1
PHY312515,1
PHY312517,1
PHY312519,1
PHY312520,1
PHY312521,1
PHY312528,1
PHY312529,6
PHY312531,1
PHY312533,1
PHY312534,1
PHY312537,1
PHY312540,1
PHY312541,18
PHY312545,6
PHY312547,5
PHY312548,2
PHY312551,1
PHY312555,20
PHY312558,1
PHY312563,1
PHY312565,1
PHY312571,6
PHY312573,4
PHY312576,1
PHY312581,6
PHY312584,1
PHY312585,1
PHY312587,1
PHY312590,1
PHY312592,1
PHY312600,18
PHY312612,1
PHY312617,5
PHY312624,1
PHY312626,2
PHY312631,3
PHY312634,1
PHY312641,1
PHY312642,1
PHY312645,1
PHY312646,1
PHY312647,1
PHY312648,20
PHY312659,3
PHY312665,2
PHY312666,1
PHY312668,2
PHY312672,1
PHY312676,16
PHY312677,3
PHY312681,4
PHY312693,2
PHY312698,1
PHY312701,2
PHY312708,3
PHY312709,2
PHY312714,2
PHY312715,4
PHY312716,2
PHY312721,3
PHY312724,1
PHY312725,1
PHY312727,7
PHY312728,1
PHY312729,27
PHY312736,3
PHY312738,1
PHY312739,1
PHY312741,1
PHY312747,2
PHY312749,1
PHY312763,1
PHY312767,1
PHY312772,1
PHY312775,1
PHY312777,1
PHY312780,20
PHY312782,8
PHY312784,1
PHY312785,1
PHY312786,1
PHY312789,1
PHY312793,2
PHY312795,1
PHY312796,1
PHY312798,1
PHY312806,1
PHY312807,1
PHY312808,2
PHY312813,3
PHY312817,2
PHY312818,1
PHY312825,1
PHY312827,1
PHY312829,2
PHY312831,6
PHY312832,1
PHY312834,2
PHY312839,3
PHY312840,1
PHY312841,1
PHY312842,2
PHY312847,1
PHY312849,1
PHY312850,1
PHY312851,1
PHY312856,4
PHY312858,1
PHY312859,5
PHY312861,10
PHY312863,1
PHY312867,1
PHY312870,2
PHY312873,1
PHY312877,2
PHY312878,1
PHY312883,2
PHY312890,2
PHY312893,2
PHY312894,1
PHY312895,1
PHY312897,6
PHY312898,1
PHY312901,2
PHY312903,1
PHY312904,1
PHY312906,2
PHY312907,1
PHY312908,1
PHY312914,2
PHY312916,3
PHY312924,1
PHY312927,1
PHY312930,1
PHY312931,1
PHY312932,1
PHY312938,2
PHY312939,1
PHY312944,1
PHY312947,3
PHY312948,1
PHY312951,1
PHY312953,2
PHY312955,1
PHY312956,1
PHY312958,8
PHY312963,2
PHY312973,2
PHY312975,1
PHY312982,1
PHY312992,1
PHY313004,1
PHY313008,2
PHY313019,1
PHY313024,1
PHY313027,2
PHY313028,5
PHY313034,1
PHY313043,2
PHY313044,1
PHY313047,1
PHY313050,1
PHY313052,1
PHY313063,3
PHY313065,1
PHY313067,7
PHY313068,4
PHY313080,1
PHY313081,1
PHY313083,1
PHY313084,5
PHY313086,1
PHY313088,1
PHY313095,2
PHY313096,1
PHY313099,1
PHY313103,2
PHY313106,1
PHY313108,1
PHY313123,1
PHY313126,1
PHY313129,1
PHY313134,1
PHY313137,2
PHY313145,5
PHY313147,1
PHY313154,1
PHY313155,1
PHY313157,1
PHY313158,4
PHY313164,1
PHY313168,1
PHY313175,1
PHY313178,2
PHY313180,2
PHY313181,1
PHY313191,2
PHY313192,2
PHY313194,1
PHY313196,1
PHY313197,1
PHY313198,2
PHY313204,2
PHY313209,1
PHY313214,5
PHY313215,1
PHY313225,1
PHY313232,3
PHY313234,1
PHY313237,1
PHY313238,1
PHY313243,1
PHY313248,2
PHY313249,3
PHY313250,1
PHY313251,3
PHY313257,1
PHY313265,1
PHY313266,3
PHY313269,1
PHY313277,6
PHY313278,119
PHY313279,1
PHY313281,1
PHY313284,1
PHY313289,1
PHY313290,2
PHY313294,1
PHY313302,2
PHY313305,1
PHY313310,1
PHY313314,2
PHY313315,1
PHY313317,1
PHY313322,16
PHY313323,3
PHY313333,1
PHY313335,3
PHY313336,3
PHY313341,7
PHY313347,1
PHY313350,2
PHY313353,1
PHY313355,1
PHY313358,1
PHY313359,4
PHY313374,2
PHY313375,2
PHY313376,3
PHY313379,1
PHY313380,1
PHY313385,1
PHY313396,8
PHY313401,1
PHY313408,2
PHY313410,2
PHY313412,1
PHY313415,5
PHY313417,1
PHY313418,1
PHY313421,1
PHY313422,6
PHY313424,1
PHY313426,1
PHY313433,5
PHY313434,1
PHY313440,2
PHY313442,1
PHY313446,1
PHY313448,2
PHY313458,12
PHY313462,1
PHY313472,1
PHY313476,1
PHY313478,1
PHY313481,1
PHY313484,2
PHY313485,1
PHY313486,2
PHY313491,1
PHY313492,5
PHY313493,2
PHY313496,1
PHY313506,7
PHY313516,10
PHY313521,1
PHY313523,3
PHY313529,3
PHY313531,5
PHY313532,2
PHY313533,1
PHY313534,1
PHY313541,1
PHY313548,1
PHY313553,1
PHY313557,2
PHY313564,1
PHY313565,5
PHY313570,1
PHY313573,1
PHY313574,7
PHY313575,14
PHY313576,1
PHY313580,1
PHY313581,1
PHY313584,3
PHY313590,2
PHY313596,1
PHY313599,37
PHY313600,2
PHY313604,1
PHY313605,1
PHY313606,1
PHY313607,1
PHY313613,6
PHY313614,1
PHY313615,1
PHY313616,1
PHY313621,1
PHY313625,1
PHY313641,3
PHY313642,1
PHY313643,9
PHY313644,2
PHY313647,1
