otherphysician,claimid
PHY311001,1
PHY311003,2
PHY311005,2
PHY311006,3
PHY311007,1
PHY311008,2
PHY311009,1
PHY311010,5
PHY311011,10
PHY311015,1
PHY311016,1
PHY311018,2
PHY311033,1
PHY311034,2
PHY311036,1
PHY311037,1
PHY311039,9
PHY311040,1
PHY311044,3
PHY311048,1
PHY311049,1
PHY311051,2
PHY311052,1
PHY311053,1
PHY311060,1
PHY311061,9
PHY311062,1
PHY311063,1
PHY311065,1
PHY311068,1
PHY311075,2
PHY311076,1
PHY311077,1
PHY311079,2
PHY311087,1
PHY311090,4
PHY311091,1
PHY311093,3
PHY311095,2
PHY311100,1
PHY311105,1
PHY311107,1
PHY311110,3
PHY311111,1
PHY311112,1
PHY311114,1
PHY311115,70
PHY311118,1
PHY311119,2
PHY311122,1
PHY311123,2
PHY311127,1
PHY311131,3
PHY311135,1
PHY311142,1
PHY311145,3
PHY311147,1
PHY311149,1
PHY311151,25
PHY311154,1
PHY311156,1
PHY311157,11
PHY311158,4
PHY311159,2
PHY311161,2
PHY311164,1
PHY311168,8
PHY311170,4
PHY311171,1
PHY311174,6
PHY311181,1
PHY311183,2
PHY311184,1
PHY311186,2
PHY311187,2
PHY311188,2
PHY311189,1
PHY311195,1
PHY311197,1
PHY311198,1
PHY311199,1
PHY311200,1
PHY311202,2
PHY311206,1
PHY311207,1
PHY311210,1
PHY311214,3
PHY311217,2
PHY311218,1
PHY311219,17
PHY311224,1
PHY311225,1
PHY311228,1
PHY311230,2
PHY311231,1
PHY311233,1
PHY311236,1
PHY311249,2
PHY311251,1
PHY311252,6
PHY311253,2
PHY311254,1
PHY311258,1
PHY311259,2
PHY311263,1
PHY311264,9
PHY311269,82
PHY311270,1
PHY311276,1
PHY311278,1
PHY311279,6
PHY311285,7
PHY311286,21
PHY311289,1
PHY311290,1
PHY311291,1
PHY311292,1
PHY311295,1
PHY311297,1
PHY311299,1
PHY311303,1
PHY311304,6
PHY311306,2
PHY311307,4
PHY311312,4
PHY311313,8
PHY311315,2
PHY311320,1
PHY311321,1
PHY311322,3
PHY311323,3
PHY311325,27
PHY311330,3
PHY311331,4
PHY311334,1
PHY311336,5
PHY311339,7
PHY311342,5
PHY311343,58
PHY311344,1
PHY311353,22
PHY311355,6
PHY311356,4
PHY311361,6
PHY311365,2
PHY311369,2
PHY311371,9
PHY311374,1
PHY311376,16
PHY311378,9
PHY311379,1
PHY311383,1
PHY311384,3
PHY311390,1
PHY311392,9
PHY311393,2
PHY311397,2
PHY311398,3
PHY311399,8
PHY311401,1
PHY311407,92
PHY311408,2
PHY311409,1
PHY311411,1
PHY311416,1
PHY311419,5
PHY311424,3
PHY311425,1
PHY311430,6
PHY311432,2
PHY311434,4
PHY311435,1
PHY311436,1
PHY311438,4
PHY311444,1
PHY311448,2
PHY311449,2
PHY311452,2
PHY311458,1
PHY311461,1
PHY311463,1
PHY311466,2
PHY311469,1
PHY311471,2
PHY311475,1
PHY311477,2
PHY311480,6
PHY311483,1
PHY311485,2
PHY311488,1
PHY311490,1
PHY311491,1
PHY311493,1
PHY311494,1
PHY311495,1
PHY311496,24
PHY311497,1
PHY311499,1
PHY311501,1
PHY311508,5
PHY311510,1
PHY311512,1
PHY311514,1
PHY311516,2
PHY311519,2
PHY311525,1
PHY311526,1
PHY311528,1
PHY311530,17
PHY311532,1
PHY311533,1
PHY311535,1
PHY311536,1
PHY311537,1
PHY311539,1
PHY311540,1
PHY311546,4
PHY311547,1
PHY311552,1
PHY311553,1
PHY311554,1
PHY311555,6
PHY311556,2
PHY311558,1
PHY311560,2
PHY311562,1
PHY311566,2
PHY311567,1
PHY311575,1
PHY311577,1
PHY311579,1
PHY311580,10
PHY311582,1
PHY311583,2
PHY311584,1
PHY311589,1
PHY311592,2
PHY311593,1
PHY311594,3
PHY311595,7
PHY311597,1
PHY311599,16
PHY311601,9
PHY311603,2
PHY311606,6
PHY311610,2
PHY311611,1
PHY311614,1
PHY311615,2
PHY311616,2
PHY311618,1
PHY311619,1
PHY311620,2
PHY311621,1
PHY311627,2
PHY311630,2
PHY311632,1
PHY311633,1
PHY311637,4
PHY311639,1
PHY311643,1
PHY311646,1
PHY311647,2
PHY311653,6
PHY311655,6
PHY311658,2
PHY311660,2
PHY311661,1
PHY311662,6
PHY311671,9
PHY311673,2
PHY311674,1
PHY311675,4
PHY311682,1
PHY311684,1
PHY311685,1
PHY311690,1
PHY311691,2
PHY311700,1
PHY311707,2
PHY311709,1
PHY311710,3
PHY311712,4
PHY311713,1
PHY311715,2
PHY311718,1
PHY311719,12
PHY311720,2
PHY311721,1
PHY311722,1
PHY311723,2
PHY311728,1
PHY311729,1
PHY311733,8
PHY311740,1
PHY311741,6
PHY311743,1
PHY311746,1
PHY311750,1
PHY311754,1
PHY311757,1
PHY311760,3
PHY311763,4
PHY311765,1
PHY311766,2
PHY311768,1
PHY311771,11
PHY311773,9
PHY311777,4
PHY311778,2
PHY311780,2
PHY311782,1
PHY311784,1
PHY311788,175
PHY311789,2
PHY311791,1
PHY311793,5
PHY311795,9
PHY311797,22
PHY311798,4
PHY311800,1
PHY311802,2
PHY311804,1
PHY311806,1
PHY311809,4
PHY311811,1
PHY311812,1
PHY311814,1
PHY311815,9
PHY311818,2
PHY311819,2
PHY311825,2
PHY311826,2
PHY311829,1
PHY311832,1
PHY311836,13
PHY311841,29
PHY311842,3
PHY311846,1
PHY311847,1
PHY311848,1
PHY311851,1
PHY311852,1
PHY311853,8
PHY311856,2
PHY311862,2
PHY311863,3
PHY311868,3
PHY311869,1
PHY311871,10
PHY311875,3
PHY311877,1
PHY311878,2
PHY311883,2
PHY311884,1
PHY311889,2
PHY311891,4
PHY311896,8
PHY311898,3
PHY311905,16
PHY311906,1
PHY311909,1
PHY311910,2
PHY311912,1
PHY311913,1
PHY311914,1
PHY311916,1
PHY311917,1
PHY311920,2
PHY311921,1
PHY311924,10
PHY311925,1
PHY311927,1
PHY311928,2
PHY311932,2
PHY311936,1
PHY311942,1
PHY311945,1
PHY311950,1
PHY311951,1
PHY311955,1
PHY311956,1
PHY311960,1
PHY311961,2
PHY311962,2
PHY311964,7
PHY311965,5
PHY311966,2
PHY311967,1
PHY311968,3
PHY311971,1
PHY311974,9
PHY311980,2
PHY311982,2
PHY311983,2
PHY311984,1
PHY311991,1
PHY311994,1
PHY311995,1
PHY311996,1
PHY311998,14
PHY311999,2
PHY312000,2
PHY312002,1
PHY312004,3
PHY312006,5
PHY312009,3
PHY312013,3
PHY312018,107
PHY312021,1
PHY312022,1
PHY312023,1
PHY312024,1
PHY312031,4
PHY312033,1
PHY312034,12
PHY312035,2
PHY312037,1
PHY312039,3
PHY312046,1
PHY312053,1
PHY312059,1
PHY312063,2
PHY312064,1
PHY312066,1
PHY312069,2
PHY312070,2
PHY312075,1
PHY312076,10
PHY312077,5
PHY312078,10
PHY312080,2
PHY312082,1
PHY312083,1
PHY312084,3
PHY312086,2
PHY312087,1
PHY312092,1
PHY312093,1
PHY312094,2
PHY312095,1
PHY312097,1
PHY312100,2
PHY312103,2
PHY312107,1
PHY312111,1
PHY312113,1
PHY312114,1
PHY312118,1
PHY312119,1
PHY312120,1
PHY312121,1
PHY312122,1
PHY312123,1
PHY312124,1
PHY312130,40
PHY312133,3
PHY312136,1
PHY312137,13
PHY312143,3
PHY312144,1
PHY312149,1
PHY312156,1
PHY312159,7
PHY312160,1
PHY312163,1
PHY312167,1
PHY312173,14
PHY312176,2
PHY312178,1
PHY312181,1
PHY312187,1
PHY312192,1
PHY312194,5
PHY312196,1
PHY312197,5
PHY312200,3
PHY312201,6
PHY312203,60
PHY312205,1
PHY312208,1
PHY312209,1
PHY312211,4
PHY312216,1
PHY312217,9
PHY312218,1
PHY312220,1
PHY312222,1
PHY312224,1
PHY312227,1
PHY312230,1
PHY312231,11
PHY312234,2
PHY312236,29
PHY312237,1
PHY312238,3
PHY312239,3
PHY312242,1
PHY312243,2
PHY312244,1
PHY312247,81
PHY312249,4
PHY312250,1
PHY312258,3
PHY312270,2
PHY312271,1
PHY312272,1
PHY312291,1
PHY312292,3
PHY312294,1
PHY312298,1
PHY312300,1
PHY312302,2
PHY312303,2
PHY312304,1
PHY312306,16
PHY312316,1
PHY312317,1
PHY312318,1
PHY312320,1
PHY312323,5
PHY312326,1
PHY312330,5
PHY312334,1
PHY312335,2
PHY312336,4
PHY312338,1
PHY312340,2
PHY312341,1
PHY312343,2
PHY312346,4
PHY312352,2
PHY312353,1
PHY312354,4
PHY312357,3
PHY312358,2
PHY312359,1
PHY312364,3
PHY312365,1
PHY312367,1
PHY312368,9
PHY312370,1
PHY312378,1
PHY312383,1
PHY312385,2
PHY312387,1
PHY312390,7
PHY312392,3
PHY312397,1
PHY312399,1
PHY312401,1
PHY312403,2
PHY312405,1
PHY312407,5
PHY312408,1
PHY312416,17
PHY312417,1
PHY312418,1
PHY312419,1
PHY312420,4
PHY312426,1
PHY312428,1
PHY312430,1
PHY312432,1
PHY312433,4
PHY312435,35
PHY312436,1
PHY312437,39
PHY312439,32
PHY312442,1
PHY312444,8
PHY312446,1
PHY312449,5
PHY312450,1
PHY312453,1
PHY312458,1
PHY312459,6
PHY312462,2
PHY312463,1
PHY312464,1
PHY312468,1
PHY312469,2
PHY312470,2
PHY312472,1
PHY312474,2
PHY312479,42
PHY312481,19
PHY312484,1
PHY312488,1
PHY312489,1
PHY312491,1
PHY312492,1
PHY312494,7
PHY312497,1
PHY312500,1
PHY312501,2
PHY312502,1
PHY312505,1
PHY312506,1
PHY312508,2
PHY312510,2
PHY312514,6
PHY312515,4
PHY312516,1
PHY312519,2
PHY312520,1
PHY312522,5
PHY312523,1
PHY312524,2
PHY312527,1
PHY312531,1
PHY312532,2
PHY312534,2
PHY312536,1
PHY312540,1
PHY312541,51
PHY312543,2
PHY312544,1
PHY312545,4
PHY312547,43
PHY312549,2
PHY312555,9
PHY312562,1
PHY312565,1
PHY312566,1
PHY312567,2
PHY312569,2
PHY312571,5
PHY312573,6
PHY312576,5
PHY312577,1
PHY312579,4
PHY312581,18
PHY312582,1
PHY312583,1
PHY312593,1
PHY312596,3
PHY312597,1
PHY312598,1
PHY312599,1
PHY312602,1
PHY312603,1
PHY312606,4
PHY312609,1
PHY312610,1
PHY312611,1
PHY312613,1
PHY312615,1
PHY312618,1
PHY312621,1
PHY312622,3
PHY312623,1
PHY312624,4
PHY312625,1
PHY312628,1
PHY312629,2
PHY312634,1
PHY312635,1
PHY312639,1
PHY312641,1
PHY312642,1
PHY312644,1
PHY312647,1
PHY312648,1
PHY312652,1
PHY312655,1
PHY312658,1
PHY312660,1
PHY312661,1
PHY312664,1
